
Movie,Question,Answer
Devara Part   1,Who penned the lyrics to the song with the lyrics snippet 'Ee Ontiki Nachhatle; Nee Kougilitho Nannu Singaarinchu; Raa Ye Vennela Jolaali'?,RAMAJOGAYYASASTRY
Devara Part   1,Which movie has the song with the following lyrics snippet from: 'Ee Ontiki Nachhatle; Nee Kougilitho Nannu Singaarinchu; Raa Ye Vennela Jolaali'?,DEVARAPART1
Devara Part   1,Who sang the song with the lyrics snippet 'Ee Ontiki Nachhatle; Nee Kougilitho Nannu Singaarinchu; Raa Ye Vennela Jolaali'?,SHILPARAO
Devara Part   1,Complete the lyric: 'Nannu Niddhara Puchhatle; Naa Thippalu Konchem Aalochinchu Aa; Enduku ___ Puttindhi',PUTTINDHO
Devara Part   1,Who is the music director for the song with the lyrics snippet 'Nannu Niddhara Puchhatle; Naa Thippalu Konchem Aalochinchu Aa; Enduku Puttindho Puttindhi'?,ANIRUDHRAVICHANDER
Devara Part   1,Who penned the lyrics to the song with the lyrics snippet 'Nannu Niddhara Puchhatle; Naa Thippalu Konchem Aalochinchu Aa; Enduku Puttindho Puttindhi'?,RAMAJOGAYYASASTRY
Devara Part   1,Which movie has the song with the following lyrics snippet from: 'Nannu Niddhara Puchhatle; Naa Thippalu Konchem Aalochinchu Aa; Enduku Puttindho Puttindhi'?,DEVARAPART1
Devara Part   1,Who sang the song with the lyrics snippet 'Nannu Niddhara Puchhatle; Naa Thippalu Konchem Aalochinchu Aa; Enduku Puttindho Puttindhi'?,SHILPARAO
Devara Part   1,Complete the lyric: '___ Oni Kattindhi; Gorinta Pettindhi Aa; Saamiki Mokkulu Kattindhi',VAYYAARAM
Devara Part   1,Who is the music director for the song with the lyrics snippet 'Vayyaaram Oni Kattindhi; Gorinta Pettindhi Aa; Saamiki Mokkulu Kattindhi'?,ANIRUDHRAVICHANDER
Devara Part   1,Who penned the lyrics to the song with the lyrics snippet 'Vayyaaram Oni Kattindhi; Gorinta Pettindhi Aa; Saamiki Mokkulu Kattindhi'?,RAMAJOGAYYASASTRY
Devara Part   1,Which movie has the song with the following lyrics snippet from: 'Vayyaaram Oni Kattindhi; Gorinta Pettindhi Aa; Saamiki Mokkulu Kattindhi'?,DEVARAPART1
Devara Part   1,Who sang the song with the lyrics snippet 'Vayyaaram Oni Kattindhi; Gorinta Pettindhi Aa; Saamiki Mokkulu Kattindhi'?,SHILPARAO
Game Changer,Complete the lyric: '___ Kalashnikov Vachenandi; Jaragandi Jaragandi Jaragandi; Dhummulepu Gunthakasu Vachenandi',KISSULA
Game Changer,Who is the music director for the song with the lyrics snippet 'Kissula Kalashnikov Vachenandi; Jaragandi Jaragandi Jaragandi; Dhummulepu Gunthakasu Vachenandi'?,SSTHAMAN
Game Changer,Who penned the lyrics to the song with the lyrics snippet 'Kissula Kalashnikov Vachenandi; Jaragandi Jaragandi Jaragandi; Dhummulepu Gunthakasu Vachenandi'?,ANANTASRIRAM
Game Changer,Which movie has the song with the following lyrics snippet from: 'Kissula Kalashnikov Vachenandi; Jaragandi Jaragandi Jaragandi; Dhummulepu Gunthakasu Vachenandi'?,GAMECHANGER
Game Changer,Complete the lyric: 'Kissula Kalashnikov Vachenandi; ___ Jaragandi Jaragandi; Dhummulepu Gunthakasu Vachenandi',JARAGANDI
Game Changer,Who is the music director for the song with the lyrics snippet 'Kissula Kalashnikov Vachenandi; Jaragandi Jaragandi Jaragandi; Dhummulepu Gunthakasu Vachenandi'?,SSTHAMAN
Game Changer,Who penned the lyrics to the song with the lyrics snippet 'Kissula Kalashnikov Vachenandi; Jaragandi Jaragandi Jaragandi; Dhummulepu Gunthakasu Vachenandi'?,ANANTASRIRAM
Game Changer,Which movie has the song with the following lyrics snippet from: 'Kissula Kalashnikov Vachenandi; Jaragandi Jaragandi Jaragandi; Dhummulepu Gunthakasu Vachenandi'?,GAMECHANGER
Game Changer,Complete the lyric: 'Kurragaadu Soode Kuchhu ___ Jaragandi Jaragandi Jaragandi; Starullokkataina Staru Vochenandi',LAAGUTHAADE
Game Changer,Who is the music director for the song with the lyrics snippet 'Kurragaadu Soode Kuchhu Laaguthaade; Jaragandi Jaragandi Jaragandi; Starullokkataina Staru Vochenandi'?,SSTHAMAN
Game Changer,Who penned the lyrics to the song with the lyrics snippet 'Kurragaadu Soode Kuchhu Laaguthaade; Jaragandi Jaragandi Jaragandi; Starullokkataina Staru Vochenandi'?,ANANTASRIRAM
Game Changer,Which movie has the song with the following lyrics snippet from: 'Kurragaadu Soode Kuchhu Laaguthaade; Jaragandi Jaragandi Jaragandi; Starullokkataina Staru Vochenandi'?,GAMECHANGER
Pushpa 2 The Rule,Complete the lyric: 'Pushpa Pushpa Pushpa Raj; Aadu Kaalu Meedha Kaalesi Koosunnaadante; Banda Raayi ___ Bangaaru Simhaasanamanta',KOODA
Pushpa 2 The Rule,Who is the music director for the song with the lyrics snippet 'Pushpa Pushpa Pushpa Raj; Aadu Kaalu  Meedha Kaalesi Koosunnaadante; Banda Raayi Kooda Bangaaru Simhaasanamanta'?,DEVISRIPRASAD
Pushpa 2 The Rule,Who penned the lyrics to the song with the lyrics snippet 'Pushpa Pushpa Pushpa Raj; Aadu Kaalu  Meedha Kaalesi Koosunnaadante; Banda Raayi Kooda Bangaaru Simhaasanamanta'?,CHANDRABOSE
Pushpa 2 The Rule,Which movie has the song with the following lyrics snippet from: 'Pushpa Pushpa Pushpa Raj; Aadu Kaalu  Meedha Kaalesi Koosunnaadante; Banda Raayi Kooda Bangaaru Simhaasanamanta'?,PUSHPA2THERULE
Pushpa 2 The Rule,Complete the lyric: 'Nee Pere Nee Branduu; Pushpa Pushpa Pushpa Pushpa; Pushpa Pushpa ___ Raj',PUSHPA
Pushpa 2 The Rule,Who is the music director for the song with the lyrics snippet 'Nee Pere Nee Branduu; Pushpa Pushpa Pushpa Pushpa; Pushpa Pushpa Pushpa Raj'?,DEVISRIPRASAD
Pushpa 2 The Rule,Who penned the lyrics to the song with the lyrics snippet 'Nee Pere Nee Branduu; Pushpa Pushpa Pushpa Pushpa; Pushpa Pushpa Pushpa Raj'?,CHANDRABOSE
Pushpa 2 The Rule,Which movie has the song with the following lyrics snippet from: 'Nee Pere Nee Branduu; Pushpa Pushpa Pushpa Pushpa; Pushpa Pushpa Pushpa Raj'?,PUSHPA2THERULE
Pushpa 2 The Rule,Complete the lyric: '___ Yedhuru Thiruge Ledhu; Thaggedhe Ledhu; Dannamedithe Devudike',BEDHURU
Pushpa 2 The Rule,Who is the music director for the song with the lyrics snippet 'Bedhuru Yedhuru Thiruge Ledhu; Thaggedhe Ledhu; Dannamedithe Devudike'?,DEVISRIPRASAD
Pushpa 2 The Rule,Who penned the lyrics to the song with the lyrics snippet 'Bedhuru Yedhuru Thiruge Ledhu; Thaggedhe Ledhu; Dannamedithe Devudike'?,CHANDRABOSE
Pushpa 2 The Rule,Which movie has the song with the following lyrics snippet from: 'Bedhuru Yedhuru Thiruge Ledhu; Thaggedhe Ledhu; Dannamedithe Devudike'?,PUSHPA2THERULE
Pushpa 2 The Rule,Complete the lyric: 'Chemma Naake ___ Korameesam Ruvvuthunna; Roshame Meeku Thelusu',THELUSU
Pushpa 2 The Rule,Who is the music director for the song with the lyrics snippet 'Chemma Naake Thelusu; Korameesam Ruvvuthunna; Roshame Meeku Thelusu'?,DEVISRIPRASAD
Pushpa 2 The Rule,Who penned the lyrics to the song with the lyrics snippet 'Chemma Naake Thelusu; Korameesam Ruvvuthunna; Roshame Meeku Thelusu'?,CHANDRABOSE
Pushpa 2 The Rule,Which movie has the song with the following lyrics snippet from: 'Chemma Naake Thelusu; Korameesam Ruvvuthunna; Roshame Meeku Thelusu'?,PUSHPA2THERULE
Pushpa 2 The Rule,Who sang the song with the lyrics snippet 'Chemma Naake Thelusu; Korameesam Ruvvuthunna; Roshame Meeku Thelusu'?,SHREYAGHOSHAL
Pushpa 2 The Rule,Complete the lyric: 'Manasulo Venna; Rayila Vunna ___ Devudevariki Thelusunu Naa Kannaa',VAADILONAA
Pushpa 2 The Rule,Who is the music director for the song with the lyrics snippet 'Manasulo Venna; Rayila Vunna Vaadilonaa; Devudevariki Thelusunu Naa Kannaa'?,DEVISRIPRASAD
Pushpa 2 The Rule,Who penned the lyrics to the song with the lyrics snippet 'Manasulo Venna; Rayila Vunna Vaadilonaa; Devudevariki Thelusunu Naa Kannaa'?,CHANDRABOSE
Pushpa 2 The Rule,Which movie has the song with the following lyrics snippet from: 'Manasulo Venna; Rayila Vunna Vaadilonaa; Devudevariki Thelusunu Naa Kannaa'?,PUSHPA2THERULE
Pushpa 2 The Rule,Who sang the song with the lyrics snippet 'Manasulo Venna; Rayila Vunna Vaadilonaa; Devudevariki Thelusunu Naa Kannaa'?,SHREYAGHOSHAL
Pushpa 2 The Rule,Complete the lyric: 'Chakka Bette ___ Vaadi Chokka Yekkadundho; Vethakamantaadu Choodu',MAGAADU
Pushpa 2 The Rule,Who is the music director for the song with the lyrics snippet 'Chakka Bette Magaadu; Vaadi Chokka Yekkadundho; Vethakamantaadu Choodu'?,DEVISRIPRASAD
Pushpa 2 The Rule,Who penned the lyrics to the song with the lyrics snippet 'Chakka Bette Magaadu; Vaadi Chokka Yekkadundho; Vethakamantaadu Choodu'?,CHANDRABOSE
Pushpa 2 The Rule,Which movie has the song with the following lyrics snippet from: 'Chakka Bette Magaadu; Vaadi Chokka Yekkadundho; Vethakamantaadu Choodu'?,PUSHPA2THERULE
Pushpa 2 The Rule,Who sang the song with the lyrics snippet 'Chakka Bette Magaadu; Vaadi Chokka Yekkadundho; Vethakamantaadu Choodu'?,SHREYAGHOSHAL
Rrr,Complete the lyric: 'Dharadhamdhara Dhamdhara Dham Dham; Dharadhamdhara ___ Dham Dham; Dharadhamdhara Dhamdhara Dham Dham',DHAMDHARA
Rrr,Who is the music director for the song with the lyrics snippet 'Dharadhamdhara Dhamdhara Dham Dham; Dharadhamdhara Dhamdhara Dham Dham; Dharadhamdhara Dhamdhara Dham Dham'?,MMKEERAVANI
Rrr,Who penned the lyrics to the song with the lyrics snippet 'Dharadhamdhara Dhamdhara Dham Dham; Dharadhamdhara Dhamdhara Dham Dham; Dharadhamdhara Dhamdhara Dham Dham'?,SIRIVENNELASEETHARAMASASTRY
Rrr,Which movie has the song with the following lyrics snippet from: 'Dharadhamdhara Dhamdhara Dham Dham; Dharadhamdhara Dhamdhara Dham Dham; Dharadhamdhara Dhamdhara Dham Dham'?,RRR
Rrr,Who sang the song with the lyrics snippet 'Dharadhamdhara Dhamdhara Dham Dham; Dharadhamdhara Dhamdhara Dham Dham; Dharadhamdhara Dhamdhara Dham Dham'?,HEMACHANDRA
Rrr,Complete the lyric: 'Dharadhamdhara Dhamdhara Dham Dham; Dharadhamdhara ___ Dham Dham; Dharadhamdhara Dhamdhara Dham Dham',DHAMDHARA
Rrr,Who is the music director for the song with the lyrics snippet 'Dharadhamdhara Dhamdhara Dham Dham; Dharadhamdhara Dhamdhara Dham Dham; Dharadhamdhara Dhamdhara Dham Dham'?,MMKEERAVANI
Rrr,Who penned the lyrics to the song with the lyrics snippet 'Dharadhamdhara Dhamdhara Dham Dham; Dharadhamdhara Dhamdhara Dham Dham; Dharadhamdhara Dhamdhara Dham Dham'?,SIRIVENNELASEETHARAMASASTRY
Rrr,Which movie has the song with the following lyrics snippet from: 'Dharadhamdhara Dhamdhara Dham Dham; Dharadhamdhara Dhamdhara Dham Dham; Dharadhamdhara Dhamdhara Dham Dham'?,RRR
Rrr,Who sang the song with the lyrics snippet 'Dharadhamdhara Dhamdhara Dham Dham; Dharadhamdhara Dhamdhara Dham Dham; Dharadhamdhara Dhamdhara Dham Dham'?,HEMACHANDRA
Rrr,Complete the lyric: 'Anukoni Gaali Dhumaram; Cheripindhi Iruvuri Dhooram; Untara ___ Pai Ilaga Vairame Burivai',IKA
Rrr,Who is the music director for the song with the lyrics snippet 'Anukoni Gaali Dhumaram; Cheripindhi Iruvuri Dhooram; Untara Ika Pai Ilaga Vairame Burivai'?,MMKEERAVANI
Rrr,Who penned the lyrics to the song with the lyrics snippet 'Anukoni Gaali Dhumaram; Cheripindhi Iruvuri Dhooram; Untara Ika Pai Ilaga Vairame Burivai'?,SIRIVENNELASEETHARAMASASTRY
Rrr,Which movie has the song with the following lyrics snippet from: 'Anukoni Gaali Dhumaram; Cheripindhi Iruvuri Dhooram; Untara Ika Pai Ilaga Vairame Burivai'?,RRR
Rrr,Who sang the song with the lyrics snippet 'Anukoni Gaali Dhumaram; Cheripindhi Iruvuri Dhooram; Untara Ika Pai Ilaga Vairame Burivai'?,HEMACHANDRA
Rrr,Complete the lyric: 'Naa paata soodu; Naatu ___ naatu; Naatu naatu naatu',NAATU
Rrr,Who is the music director for the song with the lyrics snippet 'Naa paata soodu; Naatu naatu naatu; Naatu naatu naatu'?,MMKEERAVANI
Rrr,Who penned the lyrics to the song with the lyrics snippet 'Naa paata soodu; Naatu naatu naatu; Naatu naatu naatu'?,CHANDRABOSE
Rrr,Which movie has the song with the following lyrics snippet from: 'Naa paata soodu; Naatu naatu naatu; Naatu naatu naatu'?,RRR
Rrr,Complete the lyric: 'Pacchi mirapalaaga; Piccha naatu; Naatu ___ naatu',NAATU
Rrr,Who is the music director for the song with the lyrics snippet 'Pacchi mirapalaaga; Piccha naatu; Naatu naatu naatu'?,MMKEERAVANI
Rrr,Who penned the lyrics to the song with the lyrics snippet 'Pacchi mirapalaaga; Piccha naatu; Naatu naatu naatu'?,CHANDRABOSE
Rrr,Which movie has the song with the following lyrics snippet from: 'Pacchi mirapalaaga; Piccha naatu; Naatu naatu naatu'?,RRR
Rrr,Complete the lyric: 'Naatu naatu naatu; Veera ___ Naatu naatu naatu',NAATU
Rrr,Who is the music director for the song with the lyrics snippet 'Naatu naatu naatu; Veera naatu; Naatu naatu naatu'?,MMKEERAVANI
Rrr,Who penned the lyrics to the song with the lyrics snippet 'Naatu naatu naatu; Veera naatu; Naatu naatu naatu'?,CHANDRABOSE
Rrr,Which movie has the song with the following lyrics snippet from: 'Naatu naatu naatu; Veera naatu; Naatu naatu naatu'?,RRR
Rrr,Complete the lyric: 'Aa niswa nalu ___ seda teerchu; Nee laali jolalavani; Janani',NAA
Rrr,Who is the music director for the song with the lyrics snippet 'Aa niswa nalu naa seda teerchu; Nee laali jolalavani; Janani'?,MMKEERAVANI
Rrr,Who penned the lyrics to the song with the lyrics snippet 'Aa niswa nalu naa seda teerchu; Nee laali jolalavani; Janani'?,MMKEERAVAANI
Rrr,Which movie has the song with the following lyrics snippet from: 'Aa niswa nalu naa seda teerchu; Nee laali jolalavani; Janani'?,RRR
Rrr,Who sang the song with the lyrics snippet 'Aa niswa nalu naa seda teerchu; Nee laali jolalavani; Janani'?,MMKEERAVANI
Rrr,Complete the lyric: 'Shatha vispu linga mayamai; Aa havana ganga dwanule; ___ garjanamulai',HARINASHA
Rrr,Who is the music director for the song with the lyrics snippet 'Shatha vispu linga mayamai; Aa havana ganga dwanule; Harinasha garjanamulai'?,MMKEERAVANI
Rrr,Who penned the lyrics to the song with the lyrics snippet 'Shatha vispu linga mayamai; Aa havana ganga dwanule; Harinasha garjanamulai'?,MMKEERAVAANI
Rrr,Which movie has the song with the following lyrics snippet from: 'Shatha vispu linga mayamai; Aa havana ganga dwanule; Harinasha garjanamulai'?,RRR
Rrr,Who sang the song with the lyrics snippet 'Shatha vispu linga mayamai; Aa havana ganga dwanule; Harinasha garjanamulai'?,MMKEERAVANI
Rrr,Complete the lyric: 'Aa niswa ___ naa seda teerchu; Nee laali jolalavani; Janani',NALU
Rrr,Who is the music director for the song with the lyrics snippet 'Aa niswa nalu naa seda teerchu; Nee laali jolalavani; Janani'?,MMKEERAVANI
Rrr,Who penned the lyrics to the song with the lyrics snippet 'Aa niswa nalu naa seda teerchu; Nee laali jolalavani; Janani'?,MMKEERAVAANI
Rrr,Which movie has the song with the following lyrics snippet from: 'Aa niswa nalu naa seda teerchu; Nee laali jolalavani; Janani'?,RRR
Rrr,Who sang the song with the lyrics snippet 'Aa niswa nalu naa seda teerchu; Nee laali jolalavani; Janani'?,MMKEERAVANI
Rrr,Complete the lyric: 'Komuram Bheemudo; Komuram Bheemudo; Ragaraaga ___',SOOREEDAI
Rrr,Who is the music director for the song with the lyrics snippet 'Komuram Bheemudo; Komuram Bheemudo; Ragaraaga Sooreedai'?,MMKEERAVANI
Rrr,Who penned the lyrics to the song with the lyrics snippet 'Komuram Bheemudo; Komuram Bheemudo; Ragaraaga Sooreedai'?,SUDDALAASHOKTEJA
Rrr,Which movie has the song with the following lyrics snippet from: 'Komuram Bheemudo; Komuram Bheemudo; Ragaraaga Sooreedai'?,RRR
Rrr,Who sang the song with the lyrics snippet 'Komuram Bheemudo; Komuram Bheemudo; Ragaraaga Sooreedai'?,KAALABHAIRAVA
Rrr,Complete the lyric: 'Oo ___ Oo; Komuram Bheemudo; Komuram Bheemudo',OOOO
Rrr,Who is the music director for the song with the lyrics snippet 'Oo OoOo Oo; Komuram Bheemudo; Komuram Bheemudo'?,MMKEERAVANI
Rrr,Who penned the lyrics to the song with the lyrics snippet 'Oo OoOo Oo; Komuram Bheemudo; Komuram Bheemudo'?,SUDDALAASHOKTEJA
Rrr,Which movie has the song with the following lyrics snippet from: 'Oo OoOo Oo; Komuram Bheemudo; Komuram Bheemudo'?,RRR
Rrr,Who sang the song with the lyrics snippet 'Oo OoOo Oo; Komuram Bheemudo; Komuram Bheemudo'?,KAALABHAIRAVA
Rrr,Complete the lyric: 'Mandaali ___ Mandaali Koduko; Oo OoOo Oo',KODUKO
Rrr,Who is the music director for the song with the lyrics snippet 'Mandaali Koduko; Mandaali Koduko; Oo OoOo Oo'?,MMKEERAVANI
Rrr,Who penned the lyrics to the song with the lyrics snippet 'Mandaali Koduko; Mandaali Koduko; Oo OoOo Oo'?,SUDDALAASHOKTEJA
Rrr,Which movie has the song with the following lyrics snippet from: 'Mandaali Koduko; Mandaali Koduko; Oo OoOo Oo'?,RRR
Rrr,Who sang the song with the lyrics snippet 'Mandaali Koduko; Mandaali Koduko; Oo OoOo Oo'?,KAALABHAIRAVA
Rrr,Complete the lyric: 'Hasthinaapura Samasthadhithashti; Kumbhasthaladi Charan; Nataraajam ___',NATARAAJAM
Rrr,Who is the music director for the song with the lyrics snippet 'Hasthinaapura Samasthadhithashti; Kumbhasthaladi Charan; Nataraajam Nataraajam'?,MMKEERAVANI
Rrr,Who penned the lyrics to the song with the lyrics snippet 'Hasthinaapura Samasthadhithashti; Kumbhasthaladi Charan; Nataraajam Nataraajam'?,KSHIVASHAKTHIDATTA
Rrr,Which movie has the song with the following lyrics snippet from: 'Hasthinaapura Samasthadhithashti; Kumbhasthaladi Charan; Nataraajam Nataraajam'?,RRR
Rrr,Complete the lyric: 'Swadhanushtankaana; Bhayabraantha Shaadravam; ___ Raaghavam',RAAMAM
Rrr,Who is the music director for the song with the lyrics snippet 'Swadhanushtankaana; Bhayabraantha Shaadravam; Raamam Raaghavam'?,MMKEERAVANI
Rrr,Who penned the lyrics to the song with the lyrics snippet 'Swadhanushtankaana; Bhayabraantha Shaadravam; Raamam Raaghavam'?,KSHIVASHAKTHIDATTA
Rrr,Which movie has the song with the following lyrics snippet from: 'Swadhanushtankaana; Bhayabraantha Shaadravam; Raamam Raaghavam'?,RRR
Rrr,Complete the lyric: 'Pa Ma Ga Sa Ri Ga Ma ___ Ri Sa; Nisarisa Nisarisa Nisarisaa; Raamam Raamam',GA
Rrr,Who is the music director for the song with the lyrics snippet 'Pa Ma Ga Sa Ri Ga Ma Ga Ri Sa; Nisarisa Nisarisa Nisarisaa; Raamam Raamam'?,MMKEERAVANI
Rrr,Who penned the lyrics to the song with the lyrics snippet 'Pa Ma Ga Sa Ri Ga Ma Ga Ri Sa; Nisarisa Nisarisa Nisarisaa; Raamam Raamam'?,KSHIVASHAKTHIDATTA
Rrr,Which movie has the song with the following lyrics snippet from: 'Pa Ma Ga Sa Ri Ga Ma Ga Ri Sa; Nisarisa Nisarisa Nisarisaa; Raamam Raamam'?,RRR
Rrr,Complete the lyric: 'Ginja Gunja ___ Kode; Bhalle Bhalle Bhalle Bhalle; Panthamunna Kode Punjabi Kode',KANCHU
Rrr,Who is the music director for the song with the lyrics snippet 'Ginja Gunja Kanchu Kode; Bhalle Bhalle Bhalle Bhalle; Panthamunna Kode Punjabi Kode'?,MMKEERAVANI
Rrr,Who penned the lyrics to the song with the lyrics snippet 'Ginja Gunja Kanchu Kode; Bhalle Bhalle Bhalle Bhalle; Panthamunna Kode Punjabi Kode'?,RAMAJOGAYYASASTRY
Rrr,Which movie has the song with the following lyrics snippet from: 'Ginja Gunja Kanchu Kode; Bhalle Bhalle Bhalle Bhalle; Panthamunna Kode Punjabi Kode'?,RRR
Rrr,Complete the lyric: 'Pattara Pattu Pidikili Bigapattara; Jabbalu Rendu Charichi Jai Kottara; ___ Okko Gonthu Kotlaadhi Petturaa',MANA
Rrr,Who is the music director for the song with the lyrics snippet 'Pattara Pattu Pidikili Bigapattara; Jabbalu Rendu Charichi Jai Kottara; Mana Okko Gonthu Kotlaadhi Petturaa'?,MMKEERAVANI
Rrr,Who penned the lyrics to the song with the lyrics snippet 'Pattara Pattu Pidikili Bigapattara; Jabbalu Rendu Charichi Jai Kottara; Mana Okko Gonthu Kotlaadhi Petturaa'?,RAMAJOGAYYASASTRY
Rrr,Which movie has the song with the following lyrics snippet from: 'Pattara Pattu Pidikili Bigapattara; Jabbalu Rendu Charichi Jai Kottara; Mana Okko Gonthu Kotlaadhi Petturaa'?,RRR
Rrr,Complete the lyric: 'Netthuru Marigithe Etthara Jenda; Satthuva Urimithe Kottara Konda; Aeyy Jenda Konda ___ Sutthu',KATTHI
Rrr,Who is the music director for the song with the lyrics snippet 'Netthuru Marigithe Etthara Jenda; Satthuva Urimithe Kottara Konda; Aeyy Jenda Konda Katthi Sutthu'?,MMKEERAVANI
Rrr,Who penned the lyrics to the song with the lyrics snippet 'Netthuru Marigithe Etthara Jenda; Satthuva Urimithe Kottara Konda; Aeyy Jenda Konda Katthi Sutthu'?,RAMAJOGAYYASASTRY
Rrr,Which movie has the song with the following lyrics snippet from: 'Netthuru Marigithe Etthara Jenda; Satthuva Urimithe Kottara Konda; Aeyy Jenda Konda Katthi Sutthu'?,RRR
Sarkaru Vaari Paata,Complete the lyric: 'Nuvvu Lekunte ___ Gathi; Mangalyam Tantunanena; Mama Jeevana Hetunaa!',ADHO
Sarkaru Vaari Paata,Who is the music director for the song with the lyrics snippet 'Nuvvu Lekunte Adho Gathi; Mangalyam Tantunanena; Mama Jeevana Hetunaa!'?,SSTHAMAN
Sarkaru Vaari Paata,Who penned the lyrics to the song with the lyrics snippet 'Nuvvu Lekunte Adho Gathi; Mangalyam Tantunanena; Mama Jeevana Hetunaa!'?,ANANTASRIRAM
Sarkaru Vaari Paata,Which movie has the song with the following lyrics snippet from: 'Nuvvu Lekunte Adho Gathi; Mangalyam Tantunanena; Mama Jeevana Hetunaa!'?,SARKARUVAARIPAATA
Sarkaru Vaari Paata,Who sang the song with the lyrics snippet 'Nuvvu Lekunte Adho Gathi; Mangalyam Tantunanena; Mama Jeevana Hetunaa!'?,SIDSRIRAM
Sarkaru Vaari Paata,Complete the lyric: 'Mama Jeevana Hetunaa!; Kanthe Badhnami Subhage; ___ Jeeva Saradam Satham',TWAM
Sarkaru Vaari Paata,Who is the music director for the song with the lyrics snippet 'Mama Jeevana Hetunaa!; Kanthe Badhnami Subhage; Twam Jeeva Saradam Satham'?,SSTHAMAN
Sarkaru Vaari Paata,Who penned the lyrics to the song with the lyrics snippet 'Mama Jeevana Hetunaa!; Kanthe Badhnami Subhage; Twam Jeeva Saradam Satham'?,ANANTASRIRAM
Sarkaru Vaari Paata,Which movie has the song with the following lyrics snippet from: 'Mama Jeevana Hetunaa!; Kanthe Badhnami Subhage; Twam Jeeva Saradam Satham'?,SARKARUVAARIPAATA
Sarkaru Vaari Paata,Who sang the song with the lyrics snippet 'Mama Jeevana Hetunaa!; Kanthe Badhnami Subhage; Twam Jeeva Saradam Satham'?,SIDSRIRAM
Sarkaru Vaari Paata,Complete the lyric: 'Chilipiga Teegalu Moginaaya; Poyindhe ___ Ittaantivanni Alavaate Ledhe',SOYA
Sarkaru Vaari Paata,Who is the music director for the song with the lyrics snippet 'Chilipiga Teegalu Moginaaya; Poyindhe Soya; Ittaantivanni Alavaate Ledhe'?,SSTHAMAN
Sarkaru Vaari Paata,Who penned the lyrics to the song with the lyrics snippet 'Chilipiga Teegalu Moginaaya; Poyindhe Soya; Ittaantivanni Alavaate Ledhe'?,ANANTASRIRAM
