Movie,Question,Answer,Film,Song
Devara Part   1,Who sang the song with the lyrics snippet 'Ee Ontiki Nachhatle; Nee Kougilitho Nannu Singaarinchu; Raa Ye Vennela Jolaali'?,SHILPARAO,Devara Part   1,Chuttamalle
Devara Part   1,Complete the lyric: 'Nannu Niddhara Puchhatle; Naa Thippalu Konchem Aalochinchu Aa; Enduku ___ Puttindhi',PUTTINDHO,Devara Part   1,Chuttamalle
Devara Part   1,Who is the music director for the song with the lyrics snippet 'Nannu Niddhara Puchhatle; Naa Thippalu Konchem Aalochinchu Aa; Enduku Puttindho Puttindhi'?,ANIRUDHRAVICHANDER,Devara Part   1,Chuttamalle
Devara Part   1,Who penned the lyrics to the song with the lyrics snippet 'Nannu Niddhara Puchhatle; Naa Thippalu Konchem Aalochinchu Aa; Enduku Puttindho Puttindhi'?,RAMAJOGAYYASASTRY,Devara Part   1,Chuttamalle
Devara Part   1,Which movie has the song with the following lyrics snippet from: 'Nannu Niddhara Puchhatle; Naa Thippalu Konchem Aalochinchu Aa; Enduku Puttindho Puttindhi'?,DEVARAPART1,Devara Part   1,Chuttamalle
Devara Part   1,Who sang the song with the lyrics snippet 'Nannu Niddhara Puchhatle; Naa Thippalu Konchem Aalochinchu Aa; Enduku Puttindho Puttindhi'?,SHILPARAO,Devara Part   1,Chuttamalle
Devara Part   1,Complete the lyric: '___ Oni Kattindhi; Gorinta Pettindhi Aa; Saamiki Mokkulu Kattindhi',VAYYAARAM,Devara Part   1,Chuttamalle
Devara Part   1,Who is the music director for the song with the lyrics snippet 'Vayyaaram Oni Kattindhi; Gorinta Pettindhi Aa; Saamiki Mokkulu Kattindhi'?,ANIRUDHRAVICHANDER,Devara Part   1,Chuttamalle
Devara Part   1,Who penned the lyrics to the song with the lyrics snippet 'Vayyaaram Oni Kattindhi; Gorinta Pettindhi Aa; Saamiki Mokkulu Kattindhi'?,RAMAJOGAYYASASTRY,Devara Part   1,Chuttamalle
Devara Part   1,Which movie has the song with the following lyrics snippet from: 'Vayyaaram Oni Kattindhi; Gorinta Pettindhi Aa; Saamiki Mokkulu Kattindhi'?,DEVARAPART1,Devara Part   1,Chuttamalle
Devara Part   1,Who sang the song with the lyrics snippet 'Vayyaaram Oni Kattindhi; Gorinta Pettindhi Aa; Saamiki Mokkulu Kattindhi'?,SHILPARAO,Devara Part   1,Chuttamalle
Game Changer,Complete the lyric: '___ Kalashnikov Vachenandi; Jaragandi Jaragandi Jaragandi; Dhummulepu Gunthakasu Vachenandi',KISSULA,Game Changer,Jaragandi
Game Changer,Who is the music director for the song with the lyrics snippet 'Kissula Kalashnikov Vachenandi; Jaragandi Jaragandi Jaragandi; Dhummulepu Gunthakasu Vachenandi'?,SSTHAMAN,Game Changer,Jaragandi
Game Changer,Who penned the lyrics to the song with the lyrics snippet 'Kissula Kalashnikov Vachenandi; Jaragandi Jaragandi Jaragandi; Dhummulepu Gunthakasu Vachenandi'?,ANANTASRIRAM,Game Changer,Jaragandi
Game Changer,Which movie has the song with the following lyrics snippet from: 'Kissula Kalashnikov Vachenandi; Jaragandi Jaragandi Jaragandi; Dhummulepu Gunthakasu Vachenandi'?,GAMECHANGER,Game Changer,Jaragandi
Game Changer,Complete the lyric: 'Kissula Kalashnikov Vachenandi; ___ Jaragandi Jaragandi; Dhummulepu Gunthakasu Vachenandi',JARAGANDI,Game Changer,Jaragandi
Game Changer,Who is the music director for the song with the lyrics snippet 'Kissula Kalashnikov Vachenandi; Jaragandi Jaragandi Jaragandi; Dhummulepu Gunthakasu Vachenandi'?,SSTHAMAN,Game Changer,Jaragandi
Game Changer,Who penned the lyrics to the song with the lyrics snippet 'Kissula Kalashnikov Vachenandi; Jaragandi Jaragandi Jaragandi; Dhummulepu Gunthakasu Vachenandi'?,ANANTASRIRAM,Game Changer,Jaragandi
Game Changer,Which movie has the song with the following lyrics snippet from: 'Kissula Kalashnikov Vachenandi; Jaragandi Jaragandi Jaragandi; Dhummulepu Gunthakasu Vachenandi'?,GAMECHANGER,Game Changer,Jaragandi
Game Changer,Complete the lyric: 'Kurragaadu Soode Kuchhu ___ Jaragandi Jaragandi Jaragandi; Starullokkataina Staru Vochenandi',LAAGUTHAADE,Game Changer,Jaragandi
Game Changer,Who is the music director for the song with the lyrics snippet 'Kurragaadu Soode Kuchhu Laaguthaade; Jaragandi Jaragandi Jaragandi; Starullokkataina Staru Vochenandi'?,SSTHAMAN,Game Changer,Jaragandi
Game Changer,Who penned the lyrics to the song with the lyrics snippet 'Kurragaadu Soode Kuchhu Laaguthaade; Jaragandi Jaragandi Jaragandi; Starullokkataina Staru Vochenandi'?,ANANTASRIRAM,Game Changer,Jaragandi
Game Changer,Which movie has the song with the following lyrics snippet from: 'Kurragaadu Soode Kuchhu Laaguthaade; Jaragandi Jaragandi Jaragandi; Starullokkataina Staru Vochenandi'?,GAMECHANGER,Game Changer,Jaragandi
Pushpa 2 The Rule,Complete the lyric: 'Pushpa Pushpa Pushpa Raj; Aadu Kaalu Meedha Kaalesi Koosunnaadante; Banda Raayi ___ Bangaaru Simhaasanamanta',KOODA,Pushpa 2 The Rule,Pushpa Pushpa
Pushpa 2 The Rule,Who is the music director for the song with the lyrics snippet 'Pushpa Pushpa Pushpa Raj; Aadu Kaalu  Meedha Kaalesi Koosunnaadante; Banda Raayi Kooda Bangaaru Simhaasanamanta'?,DEVISRIPRASAD,Pushpa 2 The Rule,Pushpa Pushpa
Pushpa 2 The Rule,Who penned the lyrics to the song with the lyrics snippet 'Pushpa Pushpa Pushpa Raj; Aadu Kaalu  Meedha Kaalesi Koosunnaadante; Banda Raayi Kooda Bangaaru Simhaasanamanta'?,CHANDRABOSE,Pushpa 2 The Rule,Pushpa Pushpa
Pushpa 2 The Rule,Which movie has the song with the following lyrics snippet from: 'Pushpa Pushpa Pushpa Raj; Aadu Kaalu  Meedha Kaalesi Koosunnaadante; Banda Raayi Kooda Bangaaru Simhaasanamanta'?,PUSHPA2THERULE,Pushpa 2 The Rule,Pushpa Pushpa
Pushpa 2 The Rule,Complete the lyric: 'Nee Pere Nee Branduu; Pushpa Pushpa Pushpa Pushpa; Pushpa Pushpa ___ Raj',PUSHPA,Pushpa 2 The Rule,Pushpa Pushpa
Pushpa 2 The Rule,Who is the music director for the song with the lyrics snippet 'Nee Pere Nee Branduu; Pushpa Pushpa Pushpa Pushpa; Pushpa Pushpa Pushpa Raj'?,DEVISRIPRASAD,Pushpa 2 The Rule,Pushpa Pushpa
Pushpa 2 The Rule,Who penned the lyrics to the song with the lyrics snippet 'Nee Pere Nee Branduu; Pushpa Pushpa Pushpa Pushpa; Pushpa Pushpa Pushpa Raj'?,CHANDRABOSE,Pushpa 2 The Rule,Pushpa Pushpa
Pushpa 2 The Rule,Which movie has the song with the following lyrics snippet from: 'Nee Pere Nee Branduu; Pushpa Pushpa Pushpa Pushpa; Pushpa Pushpa Pushpa Raj'?,PUSHPA2THERULE,Pushpa 2 The Rule,Pushpa Pushpa
Pushpa 2 The Rule,Complete the lyric: '___ Yedhuru Thiruge Ledhu; Thaggedhe Ledhu; Dannamedithe Devudike',BEDHURU,Pushpa 2 The Rule,Pushpa Pushpa
Pushpa 2 The Rule,Who is the music director for the song with the lyrics snippet 'Bedhuru Yedhuru Thiruge Ledhu; Thaggedhe Ledhu; Dannamedithe Devudike'?,DEVISRIPRASAD,Pushpa 2 The Rule,Pushpa Pushpa
Pushpa 2 The Rule,Who penned the lyrics to the song with the lyrics snippet 'Bedhuru Yedhuru Thiruge Ledhu; Thaggedhe Ledhu; Dannamedithe Devudike'?,CHANDRABOSE,Pushpa 2 The Rule,Pushpa Pushpa
Pushpa 2 The Rule,Which movie has the song with the following lyrics snippet from: 'Bedhuru Yedhuru Thiruge Ledhu; Thaggedhe Ledhu; Dannamedithe Devudike'?,PUSHPA2THERULE,Pushpa 2 The Rule,Pushpa Pushpa
Pushpa 2 The Rule,Complete the lyric: 'Chemma Naake ___ Korameesam Ruvvuthunna; Roshame Meeku Thelusu',THELUSU,Pushpa 2 The Rule,SOOSEKI
Pushpa 2 The Rule,Who is the music director for the song with the lyrics snippet 'Chemma Naake Thelusu; Korameesam Ruvvuthunna; Roshame Meeku Thelusu'?,DEVISRIPRASAD,Pushpa 2 The Rule,SOOSEKI
Pushpa 2 The Rule,Who penned the lyrics to the song with the lyrics snippet 'Chemma Naake Thelusu; Korameesam Ruvvuthunna; Roshame Meeku Thelusu'?,CHANDRABOSE,Pushpa 2 The Rule,SOOSEKI
Pushpa 2 The Rule,Which movie has the song with the following lyrics snippet from: 'Chemma Naake Thelusu; Korameesam Ruvvuthunna; Roshame Meeku Thelusu'?,PUSHPA2THERULE,Pushpa 2 The Rule,SOOSEKI
Pushpa 2 The Rule,Who sang the song with the lyrics snippet 'Chemma Naake Thelusu; Korameesam Ruvvuthunna; Roshame Meeku Thelusu'?,SHREYAGHOSHAL,Pushpa 2 The Rule,SOOSEKI
Pushpa 2 The Rule,Complete the lyric: 'Manasulo Venna; Rayila Vunna ___ Devudevariki Thelusunu Naa Kannaa',VAADILONAA,Pushpa 2 The Rule,SOOSEKI
Pushpa 2 The Rule,Who is the music director for the song with the lyrics snippet 'Manasulo Venna; Rayila Vunna Vaadilonaa; Devudevariki Thelusunu Naa Kannaa'?,DEVISRIPRASAD,Pushpa 2 The Rule,SOOSEKI
Pushpa 2 The Rule,Who penned the lyrics to the song with the lyrics snippet 'Manasulo Venna; Rayila Vunna Vaadilonaa; Devudevariki Thelusunu Naa Kannaa'?,CHANDRABOSE,Pushpa 2 The Rule,SOOSEKI
Pushpa 2 The Rule,Which movie has the song with the following lyrics snippet from: 'Manasulo Venna; Rayila Vunna Vaadilonaa; Devudevariki Thelusunu Naa Kannaa'?,PUSHPA2THERULE,Pushpa 2 The Rule,SOOSEKI
Pushpa 2 The Rule,Who sang the song with the lyrics snippet 'Manasulo Venna; Rayila Vunna Vaadilonaa; Devudevariki Thelusunu Naa Kannaa'?,SHREYAGHOSHAL,Pushpa 2 The Rule,SOOSEKI
Pushpa 2 The Rule,Complete the lyric: 'Chakka Bette ___ Vaadi Chokka Yekkadundho; Vethakamantaadu Choodu',MAGAADU,Pushpa 2 The Rule,SOOSEKI
Pushpa 2 The Rule,Who is the music director for the song with the lyrics snippet 'Chakka Bette Magaadu; Vaadi Chokka Yekkadundho; Vethakamantaadu Choodu'?,DEVISRIPRASAD,Pushpa 2 The Rule,SOOSEKI
Pushpa 2 The Rule,Who penned the lyrics to the song with the lyrics snippet 'Chakka Bette Magaadu; Vaadi Chokka Yekkadundho; Vethakamantaadu Choodu'?,CHANDRABOSE,Pushpa 2 The Rule,SOOSEKI
Pushpa 2 The Rule,Which movie has the song with the following lyrics snippet from: 'Chakka Bette Magaadu; Vaadi Chokka Yekkadundho; Vethakamantaadu Choodu'?,PUSHPA2THERULE,Pushpa 2 The Rule,SOOSEKI
Pushpa 2 The Rule,Who sang the song with the lyrics snippet 'Chakka Bette Magaadu; Vaadi Chokka Yekkadundho; Vethakamantaadu Choodu'?,SHREYAGHOSHAL,Pushpa 2 The Rule,SOOSEKI
Saripodhaa Sanivaaram,Complete the lyric: '___ Mana Oosulalo; Maatalo Thappipoye Pedavulalo; Minnante Manasula Sadilo',MOUNAALE,Saripodhaa Sanivaaram,Ullaasam
Saripodhaa Sanivaaram,Who is the music director for the song with the lyrics snippet 'Mounaale Mana Oosulalo; Maatalo Thappipoye Pedavulalo; Minnante Manasula Sadilo'?,JAKESBEJOY,Saripodhaa Sanivaaram,Ullaasam
Saripodhaa Sanivaaram,Who penned the lyrics to the song with the lyrics snippet 'Mounaale Mana Oosulalo; Maatalo Thappipoye Pedavulalo; Minnante Manasula Sadilo'?,SANARE,Saripodhaa Sanivaaram,Ullaasam
Saripodhaa Sanivaaram,Which movie has the song with the following lyrics snippet from: 'Mounaale Mana Oosulalo; Maatalo Thappipoye Pedavulalo; Minnante Manasula Sadilo'?,SARIPODHAASANIVAARAM,Saripodhaa Sanivaaram,Ullaasam
Saripodhaa Sanivaaram,Complete the lyric: 'Iruvuri ___ Rekhalanni; Mudipade Raatha Balapade; Vidividi Daarulemo',CHETHILONI,Saripodhaa Sanivaaram,Ullaasam
Saripodhaa Sanivaaram,Who is the music director for the song with the lyrics snippet 'Iruvuri Chethiloni Rekhalanni; Mudipade Raatha Balapade; Vidividi Daarulemo'?,JAKESBEJOY,Saripodhaa Sanivaaram,Ullaasam
Saripodhaa Sanivaaram,Who penned the lyrics to the song with the lyrics snippet 'Iruvuri Chethiloni Rekhalanni; Mudipade Raatha Balapade; Vidividi Daarulemo'?,SANARE,Saripodhaa Sanivaaram,Ullaasam
Saripodhaa Sanivaaram,Which movie has the song with the following lyrics snippet from: 'Iruvuri Chethiloni Rekhalanni; Mudipade Raatha Balapade; Vidividi Daarulemo'?,SARIPODHAASANIVAARAM,Saripodhaa Sanivaaram,Ullaasam
Saripodhaa Sanivaaram,Complete the lyric: 'Kopaale Koolche Neetho Sallaapaale; ___ Maikamlo Praanam Thele Thele; Emito Theliyandhendhuko',NEE,Saripodhaa Sanivaaram,Ullaasam
Saripodhaa Sanivaaram,Who is the music director for the song with the lyrics snippet 'Kopaale Koolche Neetho Sallaapaale; Nee Maikamlo Praanam Thele Thele; Emito Theliyandhendhuko'?,JAKESBEJOY,Saripodhaa Sanivaaram,Ullaasam
Saripodhaa Sanivaaram,Who penned the lyrics to the song with the lyrics snippet 'Kopaale Koolche Neetho Sallaapaale; Nee Maikamlo Praanam Thele Thele; Emito Theliyandhendhuko'?,SANARE,Saripodhaa Sanivaaram,Ullaasam
Saripodhaa Sanivaaram,Which movie has the song with the following lyrics snippet from: 'Kopaale Koolche Neetho Sallaapaale; Nee Maikamlo Praanam Thele Thele; Emito Theliyandhendhuko'?,SARIPODHAASANIVAARAM,Saripodhaa Sanivaaram,Ullaasam
Saripodhaa Sanivaaram,Complete the lyric: 'Nalupantaa Karige Daakaa Varakuu; Merupai ___ Tarimindoy; Kanuchoope Urimindoy',MERUPAI,Saripodhaa Sanivaaram,Garam Garam
Saripodhaa Sanivaaram,Who is the music director for the song with the lyrics snippet 'Nalupantaa Karige Daakaa Varakuu; Merupai Merupai Tarimindoy; Kanuchoope Urimindoy'?,JAKESBEJOY,Saripodhaa Sanivaaram,Garam Garam
Saripodhaa Sanivaaram,Who penned the lyrics to the song with the lyrics snippet 'Nalupantaa Karige Daakaa Varakuu; Merupai Merupai Tarimindoy; Kanuchoope Urimindoy'?,SANAPATIBHARADWAJPATRUDU,Saripodhaa Sanivaaram,Garam Garam
Saripodhaa Sanivaaram,Which movie has the song with the following lyrics snippet from: 'Nalupantaa Karige Daakaa Varakuu; Merupai Merupai Tarimindoy; Kanuchoope Urimindoy'?,SARIPODHAASANIVAARAM,Saripodhaa Sanivaaram,Garam Garam
Saripodhaa Sanivaaram,Who sang the song with the lyrics snippet 'Nalupantaa Karige Daakaa Varakuu; Merupai Merupai Tarimindoy; Kanuchoope Urimindoy'?,VISHALDADLANI,Saripodhaa Sanivaaram,Garam Garam
Saripodhaa Sanivaaram,Complete the lyric: 'Kammagaa Sarikotthagaa; Shrustinchina Lokam Choodaraa; Buddhigaa ___',BAHUSHRADDHAGAA,Saripodhaa Sanivaaram,Garam Garam
Saripodhaa Sanivaaram,Who is the music director for the song with the lyrics snippet 'Kammagaa Sarikotthagaa; Shrustinchina Lokam Choodaraa; Buddhigaa Bahushraddhagaa'?,JAKESBEJOY,Saripodhaa Sanivaaram,Garam Garam
Saripodhaa Sanivaaram,Who penned the lyrics to the song with the lyrics snippet 'Kammagaa Sarikotthagaa; Shrustinchina Lokam Choodaraa; Buddhigaa Bahushraddhagaa'?,SANAPATIBHARADWAJPATRUDU,Saripodhaa Sanivaaram,Garam Garam
Saripodhaa Sanivaaram,Which movie has the song with the following lyrics snippet from: 'Kammagaa Sarikotthagaa; Shrustinchina Lokam Choodaraa; Buddhigaa Bahushraddhagaa'?,SARIPODHAASANIVAARAM,Saripodhaa Sanivaaram,Garam Garam
Saripodhaa Sanivaaram,Who sang the song with the lyrics snippet 'Kammagaa Sarikotthagaa; Shrustinchina Lokam Choodaraa; Buddhigaa Bahushraddhagaa'?,VISHALDADLANI,Saripodhaa Sanivaaram,Garam Garam
Saripodhaa Sanivaaram,Complete the lyric: 'Nippuni Guppita Kappadaa; Sanivaaramai Sega ___ Prathi Vaarapu',KAKKUTHOO,Saripodhaa Sanivaaram,Garam Garam
Saripodhaa Sanivaaram,Who is the music director for the song with the lyrics snippet 'Nippuni Guppita Kappadaa; Sanivaaramai Sega Kakkuthoo; Prathi Vaarapu'?,JAKESBEJOY,Saripodhaa Sanivaaram,Garam Garam
Saripodhaa Sanivaaram,Who penned the lyrics to the song with the lyrics snippet 'Nippuni Guppita Kappadaa; Sanivaaramai Sega Kakkuthoo; Prathi Vaarapu'?,SANAPATIBHARADWAJPATRUDU,Saripodhaa Sanivaaram,Garam Garam
Saripodhaa Sanivaaram,Which movie has the song with the following lyrics snippet from: 'Nippuni Guppita Kappadaa; Sanivaaramai Sega Kakkuthoo; Prathi Vaarapu'?,SARIPODHAASANIVAARAM,Saripodhaa Sanivaaram,Garam Garam
Saripodhaa Sanivaaram,Who sang the song with the lyrics snippet 'Nippuni Guppita Kappadaa; Sanivaaramai Sega Kakkuthoo; Prathi Vaarapu'?,VISHALDADLANI,Saripodhaa Sanivaaram,Garam Garam
The Family Star,Complete the lyric: 'Praanaanni Gucchi Guchhakaa; Chitramgaa Chekkindhi Deniko; Emitidi Cheppi ___',CHEPPANATTUGAA,The Family Star,Nandanandanaa
The Family Star,Who is the music director for the song with the lyrics snippet 'Praanaanni Gucchi Guchhakaa; Chitramgaa Chekkindhi Deniko; Emitidi Cheppi Cheppanattugaa'?,GOPISUNDER,The Family Star,Nandanandanaa
The Family Star,Who penned the lyrics to the song with the lyrics snippet 'Praanaanni Gucchi Guchhakaa; Chitramgaa Chekkindhi Deniko; Emitidi Cheppi Cheppanattugaa'?,ANANTASRIRAM,The Family Star,Nandanandanaa
The Family Star,Which movie has the song with the following lyrics snippet from: 'Praanaanni Gucchi Guchhakaa; Chitramgaa Chekkindhi Deniko; Emitidi Cheppi Cheppanattugaa'?,THEFAMILYSTAR,The Family Star,Nandanandanaa
The Family Star,Who sang the song with the lyrics snippet 'Praanaanni Gucchi Guchhakaa; Chitramgaa Chekkindhi Deniko; Emitidi Cheppi Cheppanattugaa'?,SIDSRIRAM,The Family Star,Nandanandanaa
The Family Star,Complete the lyric: 'Emitidi Cheppi Cheppanattugaa; Entha Cheppindho; ___ Vadhuvugaa Eduta Ninchundhe',SIRULA,The Family Star,Nandanandanaa
The Family Star,Who is the music director for the song with the lyrics snippet 'Emitidi Cheppi Cheppanattugaa; Entha Cheppindho; Sirula Vadhuvugaa Eduta Ninchundhe'?,GOPISUNDER,The Family Star,Nandanandanaa
The Family Star,Who penned the lyrics to the song with the lyrics snippet 'Emitidi Cheppi Cheppanattugaa; Entha Cheppindho; Sirula Vadhuvugaa Eduta Ninchundhe'?,ANANTASRIRAM,The Family Star,Nandanandanaa
The Family Star,Which movie has the song with the following lyrics snippet from: 'Emitidi Cheppi Cheppanattugaa; Entha Cheppindho; Sirula Vadhuvugaa Eduta Ninchundhe'?,THEFAMILYSTAR,The Family Star,Nandanandanaa
The Family Star,Who sang the song with the lyrics snippet 'Emitidi Cheppi Cheppanattugaa; Entha Cheppindho; Sirula Vadhuvugaa Eduta Ninchundhe'?,SIDSRIRAM,The Family Star,Nandanandanaa
The Family Star,Complete the lyric: 'Nandanandanaa; Adigi Adagaka Aduguthunnadhe ___ Aa; Adigi Adagaka Aduguthunnadhe',AA,The Family Star,Nandanandanaa
The Family Star,Who is the music director for the song with the lyrics snippet 'Nandanandanaa; Adigi Adagaka Aduguthunnadhe Aa Aa; Adigi Adagaka Aduguthunnadhe'?,GOPISUNDER,The Family Star,Nandanandanaa
The Family Star,Who penned the lyrics to the song with the lyrics snippet 'Nandanandanaa; Adigi Adagaka Aduguthunnadhe Aa Aa; Adigi Adagaka Aduguthunnadhe'?,ANANTASRIRAM,The Family Star,Nandanandanaa
The Family Star,Which movie has the song with the following lyrics snippet from: 'Nandanandanaa; Adigi Adagaka Aduguthunnadhe Aa Aa; Adigi Adagaka Aduguthunnadhe'?,THEFAMILYSTAR,The Family Star,Nandanandanaa
The Family Star,Who sang the song with the lyrics snippet 'Nandanandanaa; Adigi Adagaka Aduguthunnadhe Aa Aa; Adigi Adagaka Aduguthunnadhe'?,SIDSRIRAM,The Family Star,Nandanandanaa
The Family Star,Complete the lyric: 'Chivari Varaku ___ Enno Podhalerakaa; Entho Padhilamugaa',SHIKAARI,The Family Star,Kalyani Vaccha Vacchaa
The Family Star,Who is the music director for the song with the lyrics snippet 'Chivari Varaku Shikaari; Enno Podhalerakaa; Entho Padhilamugaa'?,GOPISUNDER,The Family Star,Kalyani Vaccha Vacchaa
The Family Star,Who penned the lyrics to the song with the lyrics snippet 'Chivari Varaku Shikaari; Enno Podhalerakaa; Entho Padhilamugaa'?,ANANTASRIRAM,The Family Star,Kalyani Vaccha Vacchaa
The Family Star,Which movie has the song with the following lyrics snippet from: 'Chivari Varaku Shikaari; Enno Podhalerakaa; Entho Padhilamugaa'?,THEFAMILYSTAR,The Family Star,Kalyani Vaccha Vacchaa
The Family Star,Complete the lyric: '___ Vaccha Vacchaa; Pancha Kalyani Techhaa Techhaa; Singari Cheyyamdhinchaa',KALYANI,The Family Star,Kalyani Vaccha Vacchaa
The Family Star,Who is the music director for the song with the lyrics snippet 'Kalyani Vaccha Vacchaa; Pancha Kalyani Techhaa Techhaa; Singari Cheyyamdhinchaa'?,GOPISUNDER,The Family Star,Kalyani Vaccha Vacchaa
The Family Star,Who penned the lyrics to the song with the lyrics snippet 'Kalyani Vaccha Vacchaa; Pancha Kalyani Techhaa Techhaa; Singari Cheyyamdhinchaa'?,ANANTASRIRAM,The Family Star,Kalyani Vaccha Vacchaa
The Family Star,Which movie has the song with the following lyrics snippet from: 'Kalyani Vaccha Vacchaa; Pancha Kalyani Techhaa Techhaa; Singari Cheyyamdhinchaa'?,THEFAMILYSTAR,The Family Star,Kalyani Vaccha Vacchaa
The Family Star,Complete the lyric: 'Odhigina Puppodini; Neekippudu ___ Kalyani Vaccha Vacchaa',APPAGINCHAA,The Family Star,Kalyani Vaccha Vacchaa
The Family Star,Who is the music director for the song with the lyrics snippet 'Odhigina Puppodini; Neekippudu Appaginchaa; Kalyani Vaccha Vacchaa'?,GOPISUNDER,The Family Star,Kalyani Vaccha Vacchaa
The Family Star,Who penned the lyrics to the song with the lyrics snippet 'Odhigina Puppodini; Neekippudu Appaginchaa; Kalyani Vaccha Vacchaa'?,ANANTASRIRAM,The Family Star,Kalyani Vaccha Vacchaa
The Family Star,Which movie has the song with the following lyrics snippet from: 'Odhigina Puppodini; Neekippudu Appaginchaa; Kalyani Vaccha Vacchaa'?,THEFAMILYSTAR,The Family Star,Kalyani Vaccha Vacchaa
The Family Star,Complete the lyric: 'Edho Sangeethame; Hrudhayamuna Entho Santoshame; Kshanamulo Gaallo ___ Bhrame',TELINA,The Family Star,Madhuramu Kadha
The Family Star,Who is the music director for the song with the lyrics snippet 'Edho Sangeethame; Hrudhayamuna Entho Santoshame; Kshanamulo Gaallo Telina Bhrame'?,GOPISUNDER,The Family Star,Madhuramu Kadha
The Family Star,Who penned the lyrics to the song with the lyrics snippet 'Edho Sangeethame; Hrudhayamuna Entho Santoshame; Kshanamulo Gaallo Telina Bhrame'?,SRIMANI,The Family Star,Madhuramu Kadha
The Family Star,Which movie has the song with the following lyrics snippet from: 'Edho Sangeethame; Hrudhayamuna Entho Santoshame; Kshanamulo Gaallo Telina Bhrame'?,THEFAMILYSTAR,The Family Star,Madhuramu Kadha
